"","anio","jurisdicion_nombre","edad_madre","semana_gestacion","sexo","nacimientos_cantidad","educacion"
"19575",2019,"Sin Información","30 a 34","37 a 41","femenino",2,"Secundaria/Polimodal Completa"
"19576",2019,"Buenos Aires","35 a 39","37 a 41","indeterminado",1,"Primaria/C. EGB Incompleta"
"19577",2019,"Santa Fe","20 a 24","24 a 27","femenino",1,"Secundaria/Polimodal Incompleta"
"19578",2019,"Sin Información","35 a 39","37 a 41","femenino",1,"Primaria/C. EGB Completa"
"19579",2019,"Buenos Aires","35 a 39","37 a 41","indeterminado",22,"Secundaria/Polimodal Completa"
"19580",2019,"Santa Cruz","35 a 39","37 a 41","femenino",3,"Primaria/C. EGB Incompleta"
"19581",2019,"Santa Cruz","35 a 39","32 a 36","femenino",1,"Primaria/C. EGB Completa"
"19582",2019,"Buenos Aires","40 a 44","37 a 41","indeterminado",4,"Secundaria/Polimodal Incompleta"
"19583",2019,"Santa Cruz","35 a 39","37 a 41","femenino",11,"Secundaria/Polimodal Incompleta"
"19584",2019,"Buenos Aires","40 a 44","37 a 41","indeterminado",1,"Terciaria/Universitaria Completa"
"19585",2019,"Mendoza","De 45 y más","32 a 36","femenino",1,"Secundaria/Polimodal Completa"
"19586",2019,"Tucumán","De 45 y más","28 a 31","femenino",1,"Primaria/C. EGB Completa"
"19587",2019,"Misiones","30 a 34","32 a 36","femenino",3,"Secundaria/Polimodal Completa"
"19588",2019,"Misiones","30 a 34","37 a 41","femenino",123,"Secundaria/Polimodal Completa"
"19589",2019,"Santa Fe","25 a 29","37 a 41","femenino",830,"Secundaria/Polimodal Completa"
"19590",2019,"Santiago del Estero","15 a 19","37 a 41","femenino",1,"Primaria/C. EGB Completa"
"19591",2019,"Santiago del Estero","15 a 19","37 a 41","femenino",31,"Secundaria/Polimodal Completa"
"19592",2019,"Santiago del Estero","15 a 19","37 a 41","femenino",57,"Secundaria/Polimodal Completa"
"19593",2019,"Río Negro","15 a 19","32 a 36","femenino",2,"Primaria/C. EGB Completa"
"19594",2019,"Santa Fe","30 a 34","24 a 27","femenino",1,"Secundaria/Polimodal Incompleta"
"19595",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","20 a 24","32 a 36","femenino",2,"Secundaria/Polimodal Incompleta"
"19596",2019,"Santa Fe","30 a 34","32 a 36","femenino",13,"Secundaria/Polimodal Incompleta"
"19597",2019,"Santa Fe","30 a 34","32 a 36","femenino",2,"Secundaria/Polimodal Completa"
"19598",2019,"Santa Fe","30 a 34","32 a 36","femenino",17,"Secundaria/Polimodal Completa"
"19599",2019,"Santa Fe","30 a 34","Sin especif","femenino",3,"Secundaria/Polimodal Completa"
"19600",2019,"Santa Fe","30 a 34","32 a 36","femenino",7,"Terciaria/Universitaria Incompleta"
"19601",2019,"Neuquén","30 a 34","37 a 41","femenino",50,"Secundaria/Polimodal Completa"
"19602",2019,"Neuquén","30 a 34","37 a 41","femenino",111,"Secundaria/Polimodal Completa"
"19603",2019,"Santa Fe","30 a 34","Sin especif","femenino",1,"Terciaria/Universitaria Completa"
"19604",2019,"Santa Fe","35 a 39","37 a 41","femenino",21,"Primaria/C. EGB Incompleta"
"19605",2019,"Santa Fe","35 a 39","37 a 41","femenino",94,"Primaria/C. EGB Completa"
"19606",2019,"Tucumán","30 a 34","28 a 31","femenino",1,"Secundaria/Polimodal Incompleta"
"19607",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","40 a 44","37 a 41","femenino",4,"Secundaria/Polimodal Incompleta"
"19608",2019,"Córdoba","20 a 24","37 a 41","femenino",43,"Secundaria/Polimodal Incompleta"
"19609",2019,"Córdoba","20 a 24","37 a 41","femenino",922,"Secundaria/Polimodal Incompleta"
"19610",2019,"Santa Fe","40 a 44","37 a 41","femenino",7,"Secundaria/Polimodal Incompleta"
"19611",2019,"Santa Fe","40 a 44","24 a 27","femenino",2,"Secundaria/Polimodal Completa"
"19612",2019,"Santa Fe","40 a 44","28 a 31","femenino",1,"Secundaria/Polimodal Completa"
"19613",2019,"Santa Fe","40 a 44","28 a 31","femenino",2,"Secundaria/Polimodal Completa"
"19614",2019,"Santa Fe","40 a 44","28 a 31","femenino",3,"Secundaria/Polimodal Completa"
"19615",2019,"Santa Fe","40 a 44","32 a 36","femenino",2,"Secundaria/Polimodal Completa"
"19616",2019,"Santa Fe","40 a 44","32 a 36","femenino",4,"Secundaria/Polimodal Completa"
"19617",2019,"Santa Fe","40 a 44","32 a 36","femenino",1,"Secundaria/Polimodal Completa"
"19618",2019,"Santa Fe","40 a 44","37 a 41","femenino",88,"Secundaria/Polimodal Completa"
"19619",2019,"Misiones","30 a 34","37 a 41","femenino",6,"Sin instrucción"
"19620",2019,"Misiones","30 a 34","32 a 36","femenino",4,"Primaria/C. EGB Incompleta"
"19621",2019,"Santa Fe","40 a 44","32 a 36","femenino",5,"Terciaria/Universitaria Completa"
"19622",2019,"Santa Fe","40 a 44","37 a 41","femenino",60,"Terciaria/Universitaria Completa"
"19623",2019,"Tucumán","20 a 24","28 a 31","femenino",1,"Secundaria/Polimodal Incompleta"
"19624",2019,"Salta","15 a 19","32 a 36","femenino",3,"Secundaria/Polimodal Completa"
"19625",2019,"Chaco","30 a 34","28 a 31","femenino",1,"Secundaria/Polimodal Completa"
"19626",2019,"Neuquén","30 a 34","32 a 36","femenino",1,"Terciaria/Universitaria Incompleta"
"19627",2019,"Neuquén","30 a 34","37 a 41","femenino",23,"Terciaria/Universitaria Incompleta"
"19628",2019,"Misiones","25 a 29","32 a 36","femenino",13,"Primaria/C. EGB Completa"
"19629",2019,"Misiones","25 a 29","32 a 36","femenino",8,"Primaria/C. EGB Completa"
"19630",2019,"Misiones","25 a 29","32 a 36","femenino",5,"Primaria/C. EGB Completa"
"19631",2019,"Misiones","25 a 29","37 a 41","femenino",11,"Primaria/C. EGB Completa"
"19632",2019,"Misiones","25 a 29","37 a 41","femenino",94,"Primaria/C. EGB Completa"
"19633",2019,"Misiones","25 a 29","37 a 41","femenino",13,"Secundaria/Polimodal Incompleta"
"19634",2019,"Misiones","25 a 29","37 a 41","femenino",91,"Secundaria/Polimodal Incompleta"
"19635",2019,"Río Negro","25 a 29","Sin especif","femenino",3,"Terciaria/Universitaria Completa"
"19636",2019,"Misiones","25 a 29","24 a 27","femenino",1,"Secundaria/Polimodal Completa"
"19637",2019,"Misiones","25 a 29","28 a 31","femenino",1,"Secundaria/Polimodal Completa"
"19638",2019,"Misiones","25 a 29","28 a 31","femenino",1,"Secundaria/Polimodal Completa"
"19639",2019,"CABA","15 a 19","37 a 41","femenino",2,"Primaria/C. EGB Incompleta"
"19640",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","20 a 24","32 a 36","femenino",6,"Secundaria/Polimodal Completa"
"19641",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","20 a 24","32 a 36","femenino",2,"Secundaria/Polimodal Completa"
"19642",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","25 a 29","32 a 36","femenino",2,"Secundaria/Polimodal Incompleta"
"19643",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","25 a 29","32 a 36","femenino",1,"Secundaria/Polimodal Incompleta"
"19644",2019,"Misiones","20 a 24","24 a 27","femenino",1,"Secundaria/Polimodal Completa"
"19645",2019,"Tucumán","30 a 34","32 a 36","femenino",1,"Primaria/C. EGB Incompleta"
"19646",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","35 a 39","32 a 36","femenino",3,"Secundaria/Polimodal Completa"
"19647",2019,"Neuquén","35 a 39","32 a 36","femenino",1,"Terciaria/Universitaria Completa"
"19648",2019,"Buenos Aires","35 a 39","37 a 41","indeterminado",11,"Secundaria/Polimodal Incompleta"
"19649",2019,"Santa Fe","20 a 24","24 a 27","femenino",6,"Secundaria/Polimodal Incompleta"
"19650",2019,"Mendoza","40 a 44","37 a 41","femenino",30,"Terciaria/Universitaria Completa"
"19651",2019,"Santiago del Estero","Menor de 15","32 a 36","femenino",1,"Primaria/C. EGB Completa"
"19652",2019,"Santiago del Estero","Menor de 15","37 a 41","femenino",7,"Secundaria/Polimodal Incompleta"
"19653",2019,"Misiones","35 a 39","37 a 41","femenino",34,"Primaria/C. EGB Incompleta"
"19654",2019,"Misiones","35 a 39","42 y más","femenino",2,"Primaria/C. EGB Incompleta"
"19655",2019,"Misiones","35 a 39","28 a 31","femenino",1,"Primaria/C. EGB Completa"
"19656",2019,"Misiones","35 a 39","32 a 36","femenino",4,"Primaria/C. EGB Completa"
"19657",2019,"Santiago del Estero","15 a 19","32 a 36","femenino",5,"Secundaria/Polimodal Incompleta"
"19658",2019,"Río Negro","Menor de 15","37 a 41","femenino",1,"Primaria/C. EGB Completa"
"19659",2019,"Río Negro","15 a 19","37 a 41","femenino",1,"Sin instrucción"
"19660",2019,"San Luis","De 45 y más","37 a 41","femenino",1,"Terciaria/Universitaria Completa"
"19661",2019,"Santiago del Estero","15 a 19","37 a 41","femenino",55,"Secundaria/Polimodal Completa"
"19662",2019,"Río Negro","15 a 19","24 a 27","femenino",1,"Primaria/C. EGB Completa"
"19663",2019,"Misiones","35 a 39","37 a 41","femenino",61,"Secundaria/Polimodal Completa"
"19664",2019,"CABA","20 a 24","Sin especif","femenino",1,"Terciaria/Universitaria Incompleta"
"19665",2019,"San Juan","25 a 29","37 a 41","femenino",1,"Sin instrucción"
